seccion,titular,enlace_noticia
Amistad,"""La amistad nunca se acaba"", Spice Girls",https://www.latercera.com/paula/spice-girls/
María Moreno,"María Moreno: ""Excluir al trans feminismo es negar la historia y las decisiones ya tomadas colectivamente""",https://www.latercera.com/culto/2019/07/04/maria-moreno-trans-feminismo/
Premio Impulsa,Sector de consumo decepciona tras bajo porcentaje de mujeres en altos cargos,https://www.latercera.com/pulso/noticia/consumo-decepciona-mujeres-altos-cargos/702535/
Mariel Mariel,Mariel Mariel entre reggaetón y feminismo,https://www.latercera.com/culto/2019/06/11/mariel-entre-reggaeton-feminismo/
Mauricio Redolés,"Orbitando los latidos de Mauricio Redolés: vida, cultura y literatura",https://www.latercera.com/culto/2019/06/05/mauricio-redoles-vida-literatura/
iLe,"iLe y su segundo disco en solitario: ""Aunque sea distinto, refleja la misma firmeza que Calle 13""",https://www.latercera.com/culto/2019/05/28/ile-almadura-entrevista-feminismo-calle-13/
Sociedad,"A un año de la marcha ""por una educación no sexista"" que revitalizó el feminismo en Chile",https://www.latercera.com/que-pasa/noticia/a-un-ano-de-la-marcha-por-una-educacion-no-sexista-que-revitalizo-el-feminismo-en-chile/658077/
Arte,Mujeres al frente,https://www.latercera.com/masdeco/mujeres-al-frente/
La Tercera PM,"Justicia Espada, la ingeniera ícono femenino que no fue feminista",https://www.latercera.com/la-tercera-pm/noticia/justicia-espada-la-ingeniera-icono-femenino-no-fue-feminista/643436/
Feminismo,"Columna de Alejandra Sepúlveda: A un año del mayo feminista, ¿Hay lugar  para el optimismo?",https://www.latercera.com/reportajes/noticia/columna-de-alejandra-sepulveda-a-un-ano-del-mayo-feminista-hay-lugar-para-el-optimismo/640897/
Tendencias,"Virginia Ungar, presidenta de la Asociación Psicoanalítica Internacional: ""Detrás del odio  a la mujer hay mucho miedo""",https://www.latercera.com/tendencias/noticia/virginia-ungar-presidenta-la-asociacion-psicoanalitica-internacional-detras-del-odio-la-mujer-mucho-miedo/640656/
Feminismo,"Emilia Schneider, primera presidenta trans de la Fech: ""Este es un momento histórico""",https://www.latercera.com/nacional/noticia/emilia-schneider-primera-presidenta-trans-la-fech-este-momento-historico/639444/
La Tercera PM,¿Diputades? Cámara Baja cambiará de nombre,https://www.latercera.com/la-tercera-pm/noticia/diputades-camara-baja-cambiara-nombre/631206/
Mi Historia,"Jessica Benjamin, la feminista que desafía a Trump",https://www.latercera.com/que-pasa/noticia/jessica-benjamin-la-feminista-desafia-trump/616326/
Pulso Domingo,El lento avance de las mujeres en la alta gerencia de las empresas chilenas,https://www.latercera.com/pulso/noticia/lento-avance-las-mujeres-la-alta-gerencia-las-empresas-chilenas/613539/
Judith Butler,"Judith Butler: ""Me complace mucho que el feminismo vuelva a ser fuerte""",https://www.latercera.com/culto/2019/04/05/judith-butler-feminismo-fuerte/
Mujeres latinas y creadoras,"""Rolling Stone Argentina llegó a tener una mujer en la tapa, sin estar mostrando las tetas, recién hace poco""",https://www.latercera.com/culto/2019/04/04/paula-rivera-inamu-entrevista/
social,Café con piernas Vs. Feminismo,https://www.latercera.com/la-tercera-tv/noticia/cafe-piernas-vs-feminismo/578005/
Valparaíso,"Caso de ""autodefensa feminista"" deriva en conflicto y huelga de hambre en la UPLA",https://www.latercera.com/nacional/noticia/caso-autodefensa-feminista-deriva-conflicto-huelga-hambre-la-upla/577629/
Feminismo,Así que esto era la sororidad,https://www.latercera.com/paula/asi-la-sororidad/
Feminismo,Estas son las cifras del feminismo en Chile,https://www.latercera.com/la-tercera-tv/noticia/estas-las-cifras-del-feminismo-chile/569646/
Alia Trabucco,"Alia Trabucco Zerán sobre La Resta: ""Es una novela que escribí pensando en nuestra historia""",https://www.latercera.com/culto/2019/03/14/alia-trabucco-entrevista/
Mi Historia,La feminista argentina que afirma que un mundo diseñado por y para los hombres pone en peligro a las mujeres,https://www.latercera.com/que-pasa/noticia/la-feminista-argentina-afirma-mundo-disenado-los-hombres-pone-peligro-las-mujeres/568673/
Feminismo,Más que una nueva ola feminista,https://www.latercera.com/paula/mas-una-nueva-ola-feminista/
Feminismo,"Isabel Plá, ministra de la Mujer: ""El gesto del gobierno  es haber instalado demandas anheladas por las chilenas""",https://www.latercera.com/politica/noticia/isabel-pla-ministra-la-mujer-gesto-del-gobierno-haber-instalado-demandas-anheladas-las-chilenas/565593/
Feminismo,Marcha 8M: Juntas somos más,https://www.latercera.com/paula/marcha8m/
8M,Por qué marchamos,https://www.latercera.com/paula/por-que-marchamos/
Manifiesto,"Manifiesto de Maite Orsini, diputada RD: ""Hay un sector conservador y machista que no le importa mi trabajo y solo busca asociarme con un hombre""",https://www.latercera.com/reportajes/noticia/manifiesto-maite-orsini-diputada-los-21-anos-me-reconoci-feminista/562034/
